Hour,Home,Meal,Other,Work,SocRec,Shopping
0,0.0018909582549942368,0.0,0.0018909582549942368,0.0018946951100021984,0.007581445218171581,0.0
1,0.0,0.0,0.0,0.0012818909272784243,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.01525249747340447,0.0,0.0,0.0,0.0015089112426367429,0.0
5,0.07120832087105436,0.0,0.0,0.0,0.006703842075397261,0.001167335069444165
6,0.12221149014840063,0.0019078380174239956,0.02131371509680971,0.0,0.004247128556969522,0.0
7,0.19432767935825157,0.0,0.050621292004229705,0.019143762068429725,0.0046115969597703395,0.014127947926317467
8,0.18498179169131557,0.016874860423905024,0.038383338927889935,0.016390156047034504,0.007600667936594205,0.014622819810207249
9,0.10645816784367268,0.01320046166848124,0.041916282556650246,0.004801083074328675,0.013539420534431737,0.01757089091616041
10,0.05861941304732711,0.0,0.04193839260508482,0.013719313732252733,0.01285409013925503,0.055966009059418606
11,0.055518164211461433,0.02332998349331707,0.04779024693682827,0.01901875721652668,0.019301348880799894,0.03560720854989111
12,0.03138426662689407,0.035444114080525134,0.03770063209442801,0.030308296815571373,0.01633452583066704,0.05454652603278898
13,0.07317044307347026,0.021073529195899877,0.030405275927573683,0.018341603796155258,0.02973119685302422,0.056002507955922536
14,0.06501489018085388,0.010031968594038548,0.06703576125611499,0.09201944563581925,0.02777455660288661,0.04323804395620988
15,0.04559408036591882,0.004596705665847399,0.07739960734829578,0.12913950931561471,0.011049280193648342,0.05374451397652657
16,0.04248027145771948,0.0045368509606009315,0.05968482778335715,0.12803838902393838,0.02240494787835571,0.03426119312923429
17,0.10147716555980027,0.01883135010065903,0.04923280568533182,0.10736160704801824,0.027800870040505844,0.06126150926362296
18,0.1478450148791685,0.024622209577479952,0.03611442014372049,0.02255764329171589,0.02578869489320109,0.03443150893511587
19,0.010932945860672576,0.05871809886648562,0.03409049831989797,0.008336874098489556,0.021195871322950567,0.04436151309265607
20,0.01156777361834403,0.0053779940267886924,0.00334917401034423,0.02593046961949169,0.059542451348467834,0.00438546800534443
21,0.005362883623819659,0.012809694526894051,0.007510687295329529,0.018247731516763968,0.0529447255771613,0.0
22,0.009228773365477703,0.018303298688286923,0.0011746406577604427,0.01609303141419006,0.028401262561890288,0.0026188411596505114
23,0.0,0.0,0.0015439385460110282,0.0,0.016295556150489762,0.0
24,0.8597612175595629,0.009807517060861675,0.015737182019558916,0.0565861636979106,0.039550001027277334,0.018557918634832284
